Nome;Nazione;Citta;Indirizzo;Latitudine;Longitudine;Fascia_di_prezzo;Delivery;Online;Tipo_di_cucina
Pha Y La District 5;Vietnam;Ho Chi Minh City;413-415 Nguyen Trai Street Ward 7 District 5 Ho Chi Minh City Vietnam;1.075.529;10.667.351;100;No;No;Noodles
ChA o Bao n;Vietnam;Ho Chi Minh City;98 To Ngoc Van Street Quang An Ward Tay Ho District Hanoi Vietnam;210.679;10.582.236;100;No;No;Vietnamese
Pha Y Gia Truya n Hoan Kiem;Vietnam;Ho Chi Minh City;49 Bat Dan Street Cua Dong Ward Hoan Kiem District Hanoi Vietnam;210.336.032;1.058.461.911;100;No;No;Street Food
Pha Y HoA Pasteur;Vietnam;Hanoi;260C Pasteur Street Ward 8 District 3 Ho Chi Minh City 700000 Vietnam;1.077.029;1.067.031;100;No;No;Vietnamese
ThA a Ga --;Vietnam;Hanoi;53 Phan Thuc Duyen Street My An Ward Ngu Hanh Son District Da Nang Vietnam;16.052.986;10.824.158;100;No;No;Vietnamese
A n ThA i;Vietnam;Ho Chi Minh City;114 Bach Dang Street Hai Chau 1 Ward Hai Chau District Da Nang 550000 Vietnam;160.684.464;1.082.248.426;100;No;No;Vietnamese
Chay Garden District 3;Vietnam;Da Nang;52 Vo Van Tan Street Ward 6 District 3 Ho Chi Minh City 700000 Vietnam;10.778.071;1.066.909.017;100;No;No;Vegetarian
BAon BA2 BA RAE i Hai Chau;Vietnam;Da Nang;5 Phan Thanh Tai Street Hoa Thuan Dong Ward Hai Chau District Da Nang 550000 Vietnam;160.537.594;1.082.214.295;100;No;No;Noodles
Va QuAa Kitchen;Vietnam;Ho Chi Minh City;110 Suong Nguyet Anh Street Ben Thanh Ward District 1 Ho Chi Minh City 710000 Vietnam;1.077.159;1.066.885.232;100;No;No;Vegetarian
BA c Ni 2;Vietnam;Da Nang;228 Vo Nguyen Giap Street Phuoc My Ward Son Tra District Da Nang 550000 Vietnam;16.066.809;108.244.791;1000;No;No;Seafood
BAon BA2 Huao 14B;Vietnam;Ho Chi Minh City;14B Street 46 Ward 2 District 4 Ho Chi Minh City 754000 Vietnam;10.759.416;10.669.741;100;No;No;Street Food
Bao p Mao1 a 0n Le Thanh Ton Street;Vietnam;Da Nang;136 Le Thanh Ton Street Ben Thanh Ward District 1 Ho Chi Minh City Vietnam;107.739.937;1.066.982.066;100;No;No;Vietnamese
Pha Y GA Nguya t;Vietnam;Ho Chi Minh City;5B Phu Doan Street Hang Trong Ward Hoan Kiem District Hanoi 100000 Vietnam;210.302.935;1.058.476.631;100;No;No;Street Food
Tuyao t BAon ChaoPS 34;Vietnam;Ho Chi Minh City;34 Hang Than Street Nguyen Trung Truc Ward Ba Dinh District Hanoi Vietnam;210.416.366;1.058.472.363;100;No;No;Street Food
CA Cha SS Nha;Vietnam;Hanoi;36 Phan Tu Street My An Ward Ngu Hanh Son District Da Nang 550000 Vietnam;160.462.151;108.245.465;100;No;No;Street Food
1946 Cua Bac;Vietnam;Hanoi;3 Yen Thanh Alley 61 Cua Bac Street Quan Thanh Ward Ba Dinh District Hanoi Vietnam;210.428.477;1.058.429.558;100;No;No;Vietnamese
Dim Tu Tac Dong Du Street;Vietnam;Da Nang;55 Dong Du Street Ben Nghe Ward District 1 Ho Chi Minh City 700000 Vietnam;107.755.137;1.067.042.274;1000;No;No;Cantonese
Don Duck Old Quarter;Vietnam;Hanoi;29 Bat Dan Street Hang Bo Ward Hoan Kiem District Hanoi Vietnam;210.336.866;1.058.470.844;100;No;No;Vietnamese
Habakuk;Vietnam;Ho Chi Minh City;Alley 4 Phan Huy Chu Street Phan Chu Trinh Ward Hoan Kiem District Hanoi Vietnam;210.192.746;1.058.563.467;1000;No;No;European Contemporary
NAfm Hia n Phan Thanh Street;Vietnam;Hanoi;46 Phan Thanh Street Thac Gian Ward Thanh Khe District Da Nang Vietnam;16.064.686;10.820.793;100;No;No;Vietnamese
Pha Y BA2 ao u Tria u;Vietnam;Hanoi;34 Au Trieu Street Hang Trong Ward Hoan Kiem District Hanoi Vietnam;210.285.029;1.058.483.123;100;No;No;Street Food
Ha ng PhA t District 3;Vietnam;Da Nang;389-391 Vo Van Tan Street Ward 5 District 3 Ho Chi Minh City Vietnam;10.770.509;106.684.843;100;No;No;Noodles
Mr BaoPSy Mia n TAC y;Vietnam;Hanoi;79 Hang Dieu Street Cua Dong Ward Hoan Kiem District Hanoi Vietnam;21.032.104;105.846.885;100;No;No;Vietnamese
Tia m CAE m Tha ChuyAan KA 1 2;Vietnam;Ho Chi Minh City;67 Ton That Dam Street Ben Nghe Ward District 1 Ho Chi Minh City 70000 Vietnam;107.716.032;1.067.030.242;100;No;No;Cantonese
Luk Lak;Vietnam;Hanoi;4A Le Thanh Tong Street Phan Chu Trinh Ward Hoan Kiem District Hanoi Vietnam;21.022.512;105.857.567;1000;No;No;Vietnamese
PhAo Ha ng;Vietnam;Ho Chi Minh City;19 Yen Bai Street Hai Chau 1 Ward Hai Chau District Da Nang 550000 Vietnam;160.696.386;1.082.229.549;100;No;No;Street Food
Rang;Vietnam;Hanoi;384 Vo Nguyen Giap Street My An Ward Ngu Hanh Son District Da Nang Vietnam;160.430.524;10.824.779;1000;No;No;Indian
Pha Y Minh;Vietnam;Da Nang;63 6 Pasteur Street Ben Nghe Ward District 1 Ho Chi Minh City Vietnam;10.774.904;1.067.002.701;100;No;No;Noodles
ChaoPS CA ThAfng Long 6B Duong Thanh Street;Vietnam;Da Nang;6B Duong Thanh Street Cua Dong Ward Hoan Kiem District Hanoi Vietnam;210.330.434;1.058.461.533;100;No;No;Vietnamese
Xa i CAE m;Vietnam;Ho Chi Minh City;107 Lane 36 Lang Ha Street Lang Ha Ward Dong Da District Hanoi Vietnam;210.143.203;105.813.091;100;No;No;Vietnamese
Pha Y HoA ng;Vietnam;Hanoi;460 Nguyen Tri Phuong Street Ward 9 District 10 Ho Chi Minh City Vietnam;10.765.992;106.667.711;100;No;No;Noodles
CAE m TaoY m Ba Ghia n;Vietnam;Hanoi;84 Dang Van Ngu Street Ward 10 Phu Nhuan District Ho Chi Minh City 725000 Vietnam;1.079.444;10.666.935;100;No;No;Street Food
Hum Garden;Vietnam;Ho Chi Minh City;32 D10 Street Thao Dien Ward Thu Duc City Ho Chi Minh City 700000 Vietnam;108.042.053;106.744.484;1000;No;No;Vegetarian
Pha Y 10 LA 1 2 Qua c SAEdeg Hoan Kiem;Vietnam;Ho Chi Minh City;10 Ly Quoc Su Street Hang Trong Ward Hoan Kiem District Hanoi Vietnam;210.305.286;1.058.488.224;100;No;No;Noodles
Sol Kitchen Bar;Vietnam;Ho Chi Minh City;112 Ly Tu Trong Street Ben Thanh Ward District 1 Ho Chi Minh City 700000 Vietnam;107.742.548;1.066.975.079;1000;No;No;Latin American
Pha Y ChA o;Vietnam;Hanoi;52 Nguyen Cong Tru Street Ward 19 Binh Thanh District Ho Chi Minh City Vietnam;10.792.919;1.067.102.507;100;No;No;Noodles
Indian Aroma Restaurant;Vietnam;Ho Chi Minh City;24 An Thuong 6 Street My An Ward Ngu Hanh Son District Da Nang 550000 Vietnam;16.046.911;10.824.549;100;No;No;Indian
Ma 3 QuaoPSng Sa c a Ha ng VAC n;Vietnam;Ho Chi Minh City;59 Le Hong Phong Street Phuoc Ninh Ward Hai Chau District Da Nang Vietnam;160.637.402;1.082.210.287;100;No;No;Street Food
Cuc Gach Quan;Vietnam;Da Nang;10 Dang Tat Street Tan Dinh Ward District 1 Ho Chi Minh City Vietnam;107.930.299;1.066.892.557;1000;No;No;Vietnamese
Izakaya;Vietnam;Da Nang;Selska cesta 90b Zagreb 10000 Croatia;458.047.118;15.942.948;100;No;No;Japanese Contemporary
Konoba Malo Selo;Vietnam;Ho Chi Minh City;Fratrija 1 Buje 52460 Croatia;454.320.136;136.353.543;1000;No;No;Regional Cuisine Meats and Grills
Vuglec Breg;Croatia;Zagreb;A kariAevo 151 Krapina 49000 Croatia;46.149.057;158.396.211;1000;No;No;Regional Cuisine
TaA;Croatia;Buje;Vrhovec 140 Zagreb 10000 Croatia;458.268.053;159.476.092;1000;No;No;Traditional Cuisine
BeA tija;Croatia;Krapina;Masarykova Ulica 11 1 Zagreb 10000 Croatia;45.810.785;159.729.381;1000;No;No;Farm to table Contemporary
Taj Mahal;Croatia;Zagreb;Nikole GuAetiA a 2 Dubrovnik 20000 Croatia;426.404.963;181.087.558;1000;No;No;Balkan Meats and Grills
Fakin;Croatia;Zagreb;Trg Svetog Trojstva 53 Legrad 48317 Croatia;462.983.292;168.555.191;1000;No;No;Modern Cuisine
Konoba Mate;Croatia;Dubrovnik;Pupnat 28 Korcula 20260 Croatia;429.508.141;17.037.417;1000;No;No;Country cooking Regional Cuisine
Batelina;Croatia;Legrad;AOEimulje 25 Banjole 52100 Croatia;4.482.483;13.866.587;1000;No;No;Seafood
Alla Beccaccia;Croatia;Korcula;ul Pineta 25 Valbandon 52212 Croatia;4.491.547;13.824.558;1000;No;No;Traditional Cuisine Classic Cuisine
Konoba Vinko;Croatia;Banjole;Uz Cestu 57 Konjevrate 22221 Croatia;437.830.965;16.014.193;100;No;No;Country cooking
Fico;Croatia;Valbandon;1300 East Coast Parkway 468964 Singapore;13.105.224;1.039.463.853;10;No;No;Italian
Lian He Ben Ji Claypot;Croatia;Konjevrate;Chinatown Complex Market Food Centre 02-198 199 335 Smith Street 050335 Singapore;12.821.566;1.038.433.055;10;No;No;Street Food
Selamat Datang Warong Pak Sapari;Singapore;Singapore;Adam Food Centre 01-09 2 Adam Road 289876 Singapore;1.324.031;103.814.139;10;No;No;Street Food
Soon Huat;Singapore;Singapore;North Bridge Road Market Food Centre 01-105 861 North Bridge Road 198783 Singapore;13.058.048;1.038.636.367;10;No;No;Street Food
Heng Heng Cooked Food;Singapore;Singapore;Yuhua Village Market and Food Centre 01-12 Blk 254 Jurong East Street 24 600254 Singapore;1.343.566;1.037.380.985;10;No;No;Street Food
Zhup Zhup;Singapore;Singapore;01-01 458 MacPherson Road 368176 Singapore;13.319.636;1.038.824.999;10;No;No;Noodles
Fei Fei Roasted aEURC Noodle;Singapore;Singapore;Yuhua Village Market and Food Centre 01-28 Blk 254 Jurong East Street 24 600254 Singapore;13.436.537;1.037.376.562;10;No;No;Street Food
The Coconut Club Beach Road;Singapore;Singapore;269 Beach Road 199546 Singapore;13.006.534;1.038.601.437;10;No;No;Malaysian
Fu Ming Cooked Food;Singapore;Singapore;Redhill Market 01-49 85 Redhill Lane 150085 Singapore;12.874.936;1.038.183.732;10;No;No;Street Food
Jian Bo Tiong Bahru Shui Kueh;Singapore;Singapore;Jurong West 505 Market Food Centre 01-27 Blk 505 Jurong West Street 52 640505 Singapore;13.492.969;1.037.183.594;10;No;No;Street Food
Cheok Kee;Singapore;Singapore;Geylang Bahru Market Food Centre 01-35 69 Geylang Bahru 330069 Singapore;132.144;103.870.173;10;No;No;Street Food
Singapore Fried Hokkien Mee;Singapore;Singapore;Whampoa Makan Place 01-32 90 91 Whampoa Drive 91 320091 Singapore;13.230.892;1.038.549.053;10;No;No;Street Food
Kwee Heng;Singapore;Singapore;Newton Food Centre 01-13 500 Clemenceau Avenue North 229495 Singapore;1.312.026;1.038.395.432;10;No;No;Street Food
Cumi Bali;Singapore;Singapore;50 Tras Street 078989 Singapore;12.781.933;1.038.442.371;10;No;No;Indonesian
Lagnaa;Singapore;Singapore;6 Upper Dickson Road 207466 Singapore;1.306.444;1.038.522.508;10;No;No;Indian
Fool;Singapore;Singapore;21 Boon Tat Street 069620 Singapore;12.812.755;1.038.485.355;10;No;No;European Contemporary
Lai Heng Handmade Teochew Kueh;Singapore;Singapore;Yuhua Market Hawker Centre 01-218 Blk 347 Jurong East Avenue 1 Jurong East 600347 Singapore;13.452.103;1.037.310.891;10;No;No;Street Food
Chef Kang s Noodle House;Singapore;Singapore;Blk C 01-34 Jackson Square 11 Lorong 3 Toa Payoh 319579 Singapore;13.372.466;1.038.485.929;10;No;No;Street Food
Margaret Drive Sin Kee Chicken Rice;Singapore;Singapore;Block 40 Stall 5 01-39 Holland Drive 270040 Singapore;13.082.682;1.037.929.491;10;No;No;Street Food
J2 Famous Crispy Curry Puff;Singapore;Singapore;Amoy Street Food Centre 01-21 7 Maxwell Road 069111 Singapore;12.796.129;1.038.468.008;10;No;No;Street Food
IndocafA c;Singapore;Singapore;35 Scotts Road 228227 Singapore;13.110.605;1.038.356.878;10;No;No;Peranakan
Anglo Indian Shenton Way;Singapore;Singapore;01-08 1 Shenton Way 068803 Singapore;1.279.361;10.385.043;10;No;No;Indian
The Blue Ginger Tanjong Pagar;Singapore;Singapore;97 Tanjong Pagar Road 088518 Singapore;12.774.744;1.038.436.659;10;No;No;Peranakan
Kwang Kee Teochew Fish Porridge;Singapore;Singapore;Newton Food Centre 01-20 500 Clemenceau Avenue North 229495 Singapore;13.118.717;1.038.393.125;10;No;No;Street Food
Kok Sen;Singapore;Singapore;2 4 Keong Saik Road 089112 Singapore;12.802.718;103.841.681;10;No;No;Singaporean
Hjh Maimunah Jalan Pisang;Singapore;Singapore;11 15 Jalan Pisang 199078 Singapore;13.032.086;1.038.585.873;10;No;No;Malaysian
True Blue Cuisine;Singapore;Singapore;47 49 Armenian Street 179937 Singapore;12.945.379;1.038.494.194;10;No;No;Peranakan
Ji De Lai Hainanese Chicken Rice;Singapore;Singapore;Chong Pang Market and Food Centre 01-152 105 Yishun Ring Road 760105 Singapore;14.319.385;1.038.279.349;10;No;No;Street Food
Song Fa Bak Kut Teh New Bridge Road;Singapore;Singapore;01-01 11 New Bridge Road 059386 Singapore;12.890.223;1.038.477.147;10;No;No;Singaporean
Yhingthai Palace;Singapore;Singapore;01-04 36 Purvis Street 188613 Singapore;129.648;10.385.497;10;No;No;Thai
Beach Road Fish Head Bee Hoon;Singapore;Singapore;Whampoa Makan Place 01-46 90 91 Whampoa Drive 91 320091 Singapore;13.232.442;1.038.548.346;10;No;No;Street Food
Yong Chun Wan Ton Noodle;Singapore;Singapore;115 Bukit Merah View Market Hawker Centre 01-56 Blk 115 Bukit Merah View 151115 Singapore;1.285.599;10.382.203;10;No;No;Street Food
Lixin Teochew Fishball Noodles;Singapore;Singapore;Kim Keat Palm Market Food Centre 01-20 Blk 19 Toa Payoh Lor 7 310019 Singapore;13.352.759;1.038.569.441;10;No;No;Street Food
Bismillah Biryani;Singapore;Singapore;50 Dunlop Street 209379 Singapore;1.304.989;1.038.536;10;No;No;Street Food
Jalan Sultan Prawn Mee;Singapore;Singapore;2 Jalan Ayer Lorong 1 Geylang 389141 Singapore;13.111.924;1.038.727.709;10;No;No;Street Food
Na Na Curry;Singapore;Singapore;115 Bukit Merah View Market Hawker Centre 01-47 Blk 115 Bukit Merah View 151115 Singapore;1.285.599;10.382.203;10;No;No;Street Food
Alliance Seafood;Singapore;Singapore;Newton Food Centre 01-27 500 Clemenceau Avenue North 229495 Singapore;13.121.151;1.038.395.393;10;No;No;Street Food
Heng;Singapore;Singapore;Newton Food Centre 01-28 500 Clemenceau Avenue North 229495 Singapore;13.120.674;1.038.393.122;10;No;No;Street Food
Sik Bao Sin Desmond s Creation;Singapore;Singapore;592 Geylang Road 389531 Singapore;1.314.127;1.038.878;10;No;No;Singaporean
Muthu s Curry;Singapore;Singapore;01-01 138 Race Course Road 218591 Singapore;130.965;10.385.204;10;No;No;Indian
New Lucky Claypot Rice;Singapore;Singapore;Holland Drive Market Food Centre 02-19 44 Holland Drive 270044 Singapore;13.083.243;1.037.929.898;10;No;No;Street Food
MP Thai Vision Exchange;Singapore;Singapore;Vision Exchange 02-41 42 2 Venture Drive 608526 Singapore;1.329.991;103.744.593;10;No;No;Thai
Han Kee;Singapore;Singapore;Amoy Street Food Centre 02-129 7 Maxwell Road 069111 Singapore;12.796.254;1.038.467.276;10;No;No;Street Food
Delhi Lahori;Singapore;Singapore;Tekka Centre 01-266 665 Buffalo Road 210665 Singapore;13.064.407;1.038.507.102;10;No;No;Street Food
Un-Yang-Kor-Dai;Singapore;Singapore;01-02 57 South Bridge Road 058688 Singapore;12.872.095;1.038.483.084;10;No;No;Thai
Tian Tian Hainanese Chicken Rice;Singapore;Singapore;Maxwell Food Centre 01-10 11 1 Kadayanallur Street 069184 Singapore;12.804.903;1.038.448.118;10;No;No;Street Food
Eminent Frog Porridge Seafood Lor 19;Singapore;Singapore;Geylang Lorong 19 323 Geylang Road 389359 Singapore;13.127.778;1.038.792.564;10;No;No;Street Food
Ar Er Soup;Singapore;Singapore;ABC Brickworks Market Food Centre 01-141 Blk 6 Jalan Bukit Merah 150006 Singapore;12.868.701;1.038.081.238;10;No;No;Street Food
Hong Kong Yummy Soup;Singapore;Singapore;Alexandra Village Food Centre 01-51 Blk 120 Bukit Merah Lane 1 150120 Singapore;12.863.998;1.038.044.992;10;No;No;Street Food
A Noodle Story;Singapore;Singapore;Amoy Street Food Centre 01-39 7 Maxwell Road 069111 Singapore;12.790.364;1.038.464.494;10;No;No;Street Food
Chuan Kee Boneless Braised Duck;Singapore;Singapore;20 Ghim Moh Road Market Food Centre 01-04 Blk 20 Ghim Moh Road 270020 Singapore;13.110.244;103.788.126;10;No;No;Street Food
Soh Kee Cooked Food;Singapore;Singapore;Jurong West 505 Market Food Centre 01-44 Blk 505 Jurong West Street 52 640505 Singapore;13.498.361;1.037.184.176;10;No;No;Street Food
Tai Wah Pork Noodle;Singapore;Singapore;Hong Lim Market and Food Centre 02-16 Blk 531A Upper Cross Street 051531 Singapore;12.852.332;1.038.457.532;10;No;No;Street Food
Outram Park Fried Kway Teow Mee;Singapore;Singapore;Hong Lim Market and Food Centre 02-17 Blk 531A Upper Cross Street 051531 Singapore;12.851.585;1.038.457.139;10;No;No;Street Food
Hoo Kee Bak Chang;Singapore;Singapore;Amoy Street Food Centre 01-18 7 Maxwell Road 069111 Singapore;12.789.952;1.038.466.824;10;No;No;Street Food
Kelantan Kway Chap A Pig Organ Soup;Singapore;Singapore;Berseh Food Centre 02-39 166 Jalan Besar 208877 Singapore;13.073.595;10.385.674;10;No;No;Street Food
Chey Sua Carrot Cake;Singapore;Singapore;127 Toa Payoh West Market Food Centre 02-30 Blk 127 Lorong 1 Toa Payoh 310127 Singapore;13.380.791;1.038.447.178;10;No;No;Street Food
Adam Rd Noo Cheng Big Prawn Noodle;Singapore;Singapore;Adam Food Centre 01-27 2 Adam Road 289876 Singapore;1.324.031;103.814.139;10;No;No;Street Food
Jason Penang Cuisine;Singapore;Singapore;ABC Brickworks Market Food Centre 01-112 Blk 6 Jalan Bukit Merah 150006 Singapore;12.869.092;1.038.081.365;10;No;No;Street Food
Chai Chuan Tou Yang Rou Tang;Singapore;Singapore;115 Bukit Merah View Market Hawker Centre 01-51 Blk 115 Bukit Merah View 151115 Singapore;12.856.243;1.038.220.326;10;No;No;Street Food
Sin Huat Seafood Restaurant;Singapore;Singapore;659 661 Lorong 35 Geylang 389589 Singapore;1.314.489;1.038.885;10;No;No;Street Food
Du Du Shou Shi;Singapore;Singapore;Jurong West 505 Market Food Centre 01-19 Blk 505 Jurong West Street 52 640505 Singapore;13.494;10.371.848;10;No;No;Street Food
Tai Seng Fish Soup;Singapore;Singapore;Taman Jurong Market Food Centre 03-145 3 Yung Sheng Road Jurong West 618499 Singapore;13.348.723;1.037.215.061;10;No;No;Street Food
Hai Nan Xing Zhou Beef Noodle;Singapore;Singapore;Kim Keat Palm Market Food Centre 01-06 22 Lorong 7 Toa Payoh 310022 Singapore;13.355.032;103.857.018;10;No;No;Street Food
Spinach Soup;Singapore;Singapore;Geylang Bahru Market Food Centre 01-12 69 Geylang Bahru 330069 Singapore;132.144;103.870.173;10;No;No;Street Food
Heng Kee;Singapore;Singapore;Hong Lim Market and Food Centre 01-58 Blk 531A Upper Cross Street 051531 Singapore;12.851.492;1.038.457.218;10;No;No;Street Food
Da Shi Jia Big Prawn Mee;Singapore;Singapore;89 Killiney Road 239534 Singapore;1.298.469;1.038.389.954;10;No;No;Singaporean
Hong Heng Fried Sotong Prawn Mee;Singapore;Singapore;Tiong Bahru Market 02-01 30 Seng Poh Road 168898 Singapore;12.849.649;1.038.327.193;10;No;No;Street Food
Joo Siah Bak Koot Teh;Singapore;Singapore;Blk 349 01-1215 Jurong East Avenue 1 600349 Singapore;13.445.639;1.037.313.626;10;No;No;Street Food
Bahrakath Mutton Soup;Singapore;Singapore;Adam Food Centre 01-10 2 Adam Road 289876 Singapore;1.324.031;103.814.139;10;No;No;Street Food
No 18 Zion Road Fried Kway Teow;Singapore;Singapore;Zion Riverside Food Centre 017 70 Zion Road 247792 Singapore;1.292.604;1.038.312.625;10;No;No;Street Food
Zhi Wei Xian Zion Road Big Prawn Noodle;Singapore;Singapore;Zion Riverside Food Centre 04 70 Zion Road 247792 Singapore;12.924.249;1.038.312.898;10;No;No;Street Food
Hai Nan Zai;Singapore;Singapore;Chong Pang Market and Food Centre 01-129 105 Yishun Ring Road 760105 Singapore;14.318.206;1.038.279.671;10;No;No;Street Food
Whole Earth;Singapore;Singapore;76 Peck Seah Street 079331 Singapore;12.772.625;1.038.446.935;10;No;No;Vegetarian
Zai Shun Curry Fish Head;Singapore;Singapore;01-205 253 Jurong East Steet 24 600253 Singapore;1.343.888;10.373.722;10;No;No;Street Food
Koh Brother Pig s Organ Soup;Singapore;Singapore;Tiong Bahru Market 02-29 30 Seng Poh Road 168898 Singapore;12.850.432;103.832.764;10;No;No;Street Food
Shi Hui Yuan;Singapore;Singapore;Mei Ling Market Food Centre 02-33 159 Mei Chin Road 140159 Singapore;12.932.111;1.038.031.083;10;No;No;Street Food
Hui Wei Chilli Ban Mian;Singapore;Singapore;Geylang Bahru Market Food Centre 01-58 69 Geylang Bahru 330069 Singapore;132.144;103.870.173;10;No;No;Street Food
Ru Ji Kitchen;Singapore;Singapore;Holland Drive Market Food Centre 02-28 29 44 Holland Drive 270044 Singapore;13.081.582;1.037.928.826;10;No;No;Street Food
Tiong Bahru Hainanese Boneless Chicken Rice;Singapore;Singapore;Tiong Bahru Market 02-82 30 Seng Poh Road 168898 Singapore;12.846.286;103.832.596;10;No;No;Street Food
Song Fish Soup;Singapore;Singapore;Clementi 448 Food Centre 01-38 448 Clementi Ave 3 120448 Singapore;1.313.468;10.376.461;10;No;No;Street Food
Hewelke;Singapore;Singapore;Jana KiliA skiego 7 Gdansk 80-452 Poland;543.829.347;186.081.502;100;No;No;Modern Cuisine
SPOT;Singapore;Singapore;Dolna Wilda 87 Poznan 61 501 Poland;523.889.711;169.242.786;100;No;No;Modern Cuisine
Koneser Grill;Poland;Gdansk;ul ZA bkowska 29 Warsaw 03 736 Poland;522.550.025;210.442.343;1000;No;No;Meats and Grills
Vinissimo;Poland;Poznan;GeneraA a JA3zefa Bema 6 Sopot 81-753 Poland;54.443.559;185.674.248;1000;No;No;Modern Cuisine
FromaA 1 4eria;Poland;Warsaw;ul Ratajczaka 27 Poznan 61 814 Poland;524.062.468;16.924.968;1000;No;No;Mediterranean Cuisine
Kieliszki na PrA3A 1 4nej;Poland;Sopot;ul PrA3A 1 4na 12 Warsaw 00 107 Poland;522.364.549;210.046.741;1000;No;No;Modern Cuisine
TU REStAURANT;Poland;Poznan;Grunwaldzka 34A Poznan 60 786 Poland;524.031.076;168.942.082;1000;No;No;Modern Cuisine
MOLAM;Poland;Warsaw;ul Rajska 3 4 Krakow 31 124 Poland;500.648.387;199.276.183;100;No;No;Thai
Treinta y Tres;Poland;Poznan;Olivia Centre Aleja Grunwaldzka 472c Gdansk 80-309 Poland;54.403.643;185.708.193;1000;No;No;Spanish
Le Braci;Poland;Krakow;ul GA3rnoA lA ska 24 Warsaw 00 484 Poland;522.243.896;21.028.538;1000;No;No;Italian
Folga;Poland;Gdansk;ul Estery 12 Krakow 31-056 Poland;500.518.199;199.454.617;1000;No;No;Modern Cuisine
1911 Restaurant;Poland;Warsaw;ul Grunwaldzka 4 6 Sopot 81-759 Poland;544.444.791;185.693.435;1000;No;No;Modern Cuisine
alewino;Poland;Krakow;ul Mokotowska 48 Warsaw 00 543 Poland;522.252.094;210.220.599;1000;No;No;Traditional Cuisine
Luneta Lorneta Bistro Club;Poland;Sopot;Ciekocinko 9 Ciekocinko 84210 Poland;547.466.495;177.977.622;1000;No;No;Traditional Cuisine
kontakt;Poland;Warsaw;Sandomierska 13 Warsaw 02 567 Poland;522.079.464;210.190.128;100;No;No;Mediterranean Cuisine Contemporary
Ceviche Bar;Poland;Ciekocinko;Twarda 2-4 Warsaw 00 105 Poland;522.355.435;210.019.124;1000;No;No;South American
Gostilna na Gradu;Poland;Warsaw;Grajska planota 1 Ljubljana 1000 Slovenia;460.478.785;145.092.591;1000;No;No;Traditional Cuisine
LALU Bistro;Poland;Warsaw;Trg celjskih knezov 3 Celje 3000 Slovenia;462.292.868;152.616.833;100;No;No;Modern Cuisine Regional European
JoA 3 4ef;Slovenia;Ljubljana;Vojkova Ulica 9A Idrija 5280 Slovenia;46.006.865;140.277.163;1000;No;No;Regional Cuisine Country cooking
Gostilnica Ruj;Slovenia;Celje;Dol Pri Vogljah 16 Dol pri Vogljah 6221 Slovenia;457.243.204;138.162.299;1000;No;No;Regional Cuisine Seasonal Cuisine
Gostilna Rajh;Slovenia;Idrija;SoboA ka ulica 32 Bakovci Murska Sobota 9000 Slovenia;466.220.488;161.489.409;1000;No;No;Traditional Cuisine
Restavracija Majerca;Slovenia;Dol pri Vogljah;Stara FuA 3 4ina19 Stara FuA 3 4ina 4265 Slovenia;4.628.352;1.389.019;1000;No;No;Regional Cuisine Modern Cuisine
Gostilna in vinoteka Faladur;Slovenia;Murska Sobota;Ulica Ivana A Aeka 6 Vipava 5271 Slovenia;458.464;139.632;1000;No;No;Country cooking
Kodila;Slovenia;Stara FuA 3 4ina;MarkiA avci 44 Murska Sobota 9000 Slovenia;4.668.362;1.616.325;1000;No;No;Meats and Grills
Triangel;Slovenia;Vipava;Zgornje Rute 9 Gozd Martuljek 4282 Slovenia;464.824.124;138.373.242;1000;No;No;Regional Cuisine Modern Cuisine
Gostilna MahorAiA;Slovenia;Murska Sobota;Rodik 51 Rodik 6240 Slovenia;456.247.236;139.801.944;1000;No;No;Regional European Farm to table
14Horses;Slovenia;Gozd Martuljek;DominikonA3 GatvA-- 11 Vilnius 01131 Lithuania;546.807.254;252.857.564;1000;No;No;Modern Cuisine Creative
Gaspar s;Slovenia;Rodik;Pylimo GatvA-- 23-3 Vilnius 01141 Lithuania;546.785.475;25.277.928;1000;No;No;Indian
NA 1 4man;Lithuania;Vilnius;43 Nemuno GatvA-- Kaunas 44288 Lithuania;548.964.002;238.970.595;1000;No;No;Modern Cuisine
Le Travi;Lithuania;Vilnius;UA 3 4upio GatvA-- 19 Vilnius 01202 Lithuania;546.807.946;25.297.828;100;No;No;Italian Traditional Cuisine
Xin Wen Ji Yuexiu;Lithuania;Kaunas;1-3F Sino Trade Centre 67 Panfu Road Yuexiu Guangzhou China Mainland;231.384.062;1.132.549.033;1000;No;No;Cantonese
Jia Yuan;Lithuania;Vilnius;7 Xingrenli Guangxiao Road Yuexiu Guangzhou China Mainland;2.312.662;11.325.606;10;No;No;Vegetarian
Mamak;China Mainland;Guangzhou;Shop 082C East 1 Street B1F Fashion Tianhe Plaza 299 Tianhe Road Tianhe Guangzhou China Mainland;231.363.562;1.133.218.608;10;No;No;Malaysian
Liang Jie Nanning Pumiao Shengzha Mifen Yinghua Street;China Mainland;Guangzhou;242 Yinghua Street Xiaogang Bay Haizhu Guangzhou China Mainland;23.071.435;113.288.776;10;No;No;Noodles
Wen Ji Yixinji;China Mainland;Guangzhou;10 Xuanyuanqiao 76 Baohua Road Liwan Guangzhou China Mainland;23.116.787;113.236.603;1000;No;No;Cantonese
